Names,Traced,Smooth image
scan1-87.png,0.295446,0.0974246
scan1-134.png,0.169035,0.102696
scan1-54.png,0.146758,0.124542
scan1-119.png,0.0958674,0.129409
scan1-71.png,0.102122,0.130215
scan1-90.png,0.183278,0.135159
scan1-57.png,0.129678,0.155182
scan1-200.png,0.338083,0.166804
scan1-179.png,0.487167,0.181452
scan1-12.png,0.351277,0.183413
scan1-159.png,0.265514,0.194997
scan1-113.png,0.209045,0.211041
scan1-93.png,0.209846,0.213236
scan1-126.png,0.195567,0.213737
scan1-164.png,0.0829023,0.217112
scan1-155.png,0.0300612,0.220922
scan1-121.png,0.171761,0.237879
scan1-139.png,0.0971241,0.243692
scan1-47.png,0.160387,0.250235
scan1-152.png,0.161232,0.25099
scan1-205.png,0.168231,0.253083
scan1-117.png,0.119231,0.253355
scan1-6.png,0.290718,0.256627
scan1-109.png,0.346524,0.258175
scan1-2.png,0.231236,0.261869
scan1-59.png,0.354773,0.2625
scan1-102.png,0.192769,0.269891
scan1-167.png,0.115576,0.271373
scan1-187.png,0.192184,0.278629
scan1-50.png,0.278595,0.279692
scan1-165.png,0.178621,0.281307
scan1-30.png,0.409747,0.284603
scan1-192.png,0.203051,0.288334
scan1-124.png,0.358789,0.289533
scan1-77.png,0.438969,0.293796
scan1-203.png,0.171494,0.303518
scan1-201.png,0.32123,0.305771
scan1-106.png,0.166168,0.305916
scan1-142.png,0.391113,0.318146
scan1-10.png,0.15862,0.331581
scan1-32.png,0.468409,0.336028
scan1-129.png,0.197303,0.340782
scan1-40.png,0.261833,0.340825
scan1-158.png,0.197679,0.341204
scan1-75.png,0.385324,0.342383
scan1-161.png,0.173909,0.343728
scan1-4.png,0.241022,0.344573
scan1-70.png,0.267242,0.34464
scan1-104.png,0.459015,0.34492
scan1-101.png,0.316459,0.347142
scan1-136.png,0.204318,0.348638
scan1-130.png,0.181964,0.350127
scan1-67.png,0.489434,0.350836
scan1-37.png,0.297874,0.35105
scan1-115.png,0.275642,0.353157
scan1-100.png,0.35059,0.354004
scan1-99.png,0.28333,0.356237
scan1-46.png,0.301876,0.35877
scan1-107.png,0.285043,0.361551
scan1-150.png,0.159534,0.362159
scan1-196.png,0.493478,0.36241
scan1-78.png,0.325483,0.369527
scan1-72.png,0.49963,0.370153
scan1-86.png,0.207595,0.370488
scan1-36.png,0.250094,0.371071
scan1-44.png,0.225825,0.372722
scan1-18.png,0.466372,0.373175
scan1-64.png,0.228843,0.376101
scan1-85.png,0.542907,0.377799
scan1-138.png,0.323949,0.377917
scan1-8.png,0.471315,0.378383
scan1-42.png,0.306171,0.380418
scan1-147.png,0.507072,0.38048
scan1-170.png,0.40639,0.381072
scan1-61.png,0.30894,0.382891
scan1-21.png,0.349541,0.383237
scan1-173.png,0.237204,0.385465
scan1-27.png,0.314799,0.385896
scan1-69.png,0.499649,0.38931
scan1-207.png,0.46955,0.390035
scan1-34.png,0.232453,0.390236
scan1-97.png,0.318075,0.391049
scan1-162.png,0.408708,0.393265
scan1-163.png,0.245286,0.394516
scan1-183.png,0.522796,0.399313
scan1-23.png,0.249801,0.399572
scan1-33.png,0.249403,0.403703
scan1-41.png,0.333534,0.404853
scan1-96.png,0.333696,0.404998
scan1-123.png,0.3394,0.405876
scan1-145.png,0.256601,0.407186
scan1-84.png,0.375372,0.407327
scan1-80.png,0.335201,0.40764
scan1-110.png,0.530873,0.40948
scan1-157.png,0.265733,0.411538
scan1-174.png,0.260623,0.412616
scan1-53.png,0.261644,0.412834
scan1-58.png,0.322255,0.414627
scan1-141.png,0.377043,0.417533
scan1-76.png,0.539098,0.419834
scan1-56.png,0.48385,0.422924
scan1-149.png,0.267896,0.426482
scan1-177.png,0.283644,0.43747
scan1-15.png,0.350439,0.438072
scan1-132.png,0.0665782,0.438685
scan1-172.png,0.393408,0.439293
scan1-24.png,0.376524,0.443243
scan1-131.png,0.481489,0.445266
scan1-176.png,0.291882,0.446695
scan1-193.png,0.293488,0.448493
scan1-45.png,0.316494,0.44969
scan1-171.png,0.295297,0.45052
scan1-5.png,0.486113,0.451546
scan1-204.png,0.308249,0.465023
scan1-73.png,0.708475,0.465559
scan1-11.png,0.744455,0.470274
scan1-198.png,0.181603,0.477721
scan1-20.png,0.321679,0.480063
scan1-168.png,0.4414,0.480886
scan1-186.png,0.129824,0.486121
scan1-51.png,0.592873,0.487524
scan1-188.png,0.0926639,0.497247
scan1-151.png,0.369822,0.499367
scan1-66.png,0.341568,0.502335
scan1-89.png,0.440601,0.504001
scan1-88.png,0.455342,0.504897
scan1-199.png,0.349761,0.51151
scan1-1.png,0.418049,0.512555
scan1-79.png,0.196002,0.514569
scan1-55.png,0.390015,0.515409
scan1-22.png,0.533383,0.516507
scan1-181.png,0.461809,0.517721
scan1-7.png,0.62192,0.524088
scan1-13.png,0.365472,0.529104
scan1-190.png,0.536701,0.529235
scan1-191.png,0.536701,0.529235
scan1-38.png,0.366,0.529695
scan1-65.png,0.371342,0.535677
scan1-49.png,0.373563,0.538164
scan1-3.png,0.46825,0.540555
scan1-144.png,0.378175,0.543329
scan1-114.png,0.179432,0.544304
scan1-108.png,0.381888,0.547487
scan1-43.png,0.381949,0.547555
scan1-19.png,0.644877,0.552985
scan1-156.png,0.714416,0.554264
scan1-82.png,0.438334,0.558569
scan1-206.png,0.445189,0.559241
scan1-111.png,0.501165,0.560133
scan1-31.png,0.394733,0.561871
scan1-195.png,0.548988,0.562633
scan1-94.png,0.401751,0.56973
scan1-92.png,0.503408,0.574689
scan1-125.png,0.500735,0.579638
scan1-14.png,0.41152,0.58067
scan1-178.png,0.215406,0.582863
scan1-25.png,0.235999,0.583455
scan1-26.png,0.235999,0.583455
scan1-39.png,0.332873,0.594029
scan1-175.png,0.42488,0.595631
scan1-52.png,0.426303,0.597224
scan1-74.png,0.428443,0.598267
scan1-153.png,0.309503,0.599086
scan1-166.png,0.313112,0.599948
scan1-68.png,0.253735,0.608008
scan1-143.png,0.444009,0.617052
scan1-154.png,0.355128,0.630129
scan1-182.png,0.677172,0.633877
scan1-160.png,0.462537,0.637801
scan1-137.png,0.251748,0.644145
scan1-112.png,0.353405,0.644586
scan1-118.png,0.469111,0.645163
scan1-120.png,0.481285,0.658795
scan1-184.png,0.175105,0.659576
scan1-95.png,0.573256,0.662787
scan1-91.png,0.538364,0.668661
scan1-146.png,0.233189,0.668756
scan1-135.png,0.193294,0.674748
scan1-103.png,0.519227,0.701284
scan1-202.png,0.532749,0.716427
scan1-48.png,0.550885,0.736735
scan1-122.png,0.553623,0.739802
scan1-98.png,0.553786,0.739984
scan1-60.png,0.564898,0.752428
scan1-140.png,0.254601,0.755964
scan1-81.png,0.231921,0.758037
scan1-16.png,0.592276,0.783087
scan1-185.png,0.195883,0.785726
scan1-83.png,0.183975,0.795134
scan1-169.png,0.215958,0.814588
scan1-35.png,0.207065,0.835404
scan1-180.png,0.211475,0.839207
scan1-9.png,0.690626,0.893222
scan1-148.png,0.0516402,0.894629
scan1-17.png,0.987706,0.920823
scan1-116.png,0.724946,0.931655
scan1-127.png,0.582939,0.992543
scan1-128.png,0.297769,0.993031
scan1-105.png,0.830961,1.05037
scan1-133.png,1.00249,1.24246
scan1-197.png,0.288628,1.87899
scan1-29.png,0.171473,1.88435
scan1-28.png,0.453716,1.90317
scan1-63.png,0.285095,1.91059
scan1-189.png,0.0367165,1.93334
scan1-194.png,0.0245446,1.94179
scan1-62.png,0.594417,2.3384
scan1-208.png,0,0
scan1-209.png,0,0
scan1-210.png,0,0
scan1-211.png,0,0
scan1-212.png,0,0
